       1                191          Induction          J5             4          1           4         2       14          30         1      0           286                 11E         
       2                190          Induction          J5             5          1           7         2       13          29         1      0           285                 11D         
       3                189          Induction          J5             6          1          10         2       12          28         1      0           284                 11C         
       4                188          Induction          J5             7          1          13         2       11          27         1      0           283                 11B         
       5                187          Induction          J5             8          1          16         2       10          26         1      0           282                 11A         
       6                186          Induction          J5             9          1          19         2        9          25         1      0           281                 119         
       7                185          Induction          J5            10          1          22         2        8          24         1      0           280                 118         
       8                184          Induction          J5            11          1          25         2        7          23         1      0           279                 117         
       9                183          Induction          J5            12          1          28         2        6          22         1      0           278                 116         
       10               182          Induction          J5            13          1          31         2        5          21         1      0           277                 115         
       11               181          Induction          J5            14          1          34         2        4          20         1      0           276                 114         
       12               180          Induction          J5            15          1          37         2        3          19         1      0           275                 113         
       13               179          Induction          J5            16          1          40         2        2          18         1      0           274                 112         
       14               178          Induction          J5            17          1          43         2        1          17         1      0           273                 111         
       15               177          Induction          J5            18          1          46         2        0          16         1      0           272                 110         
       16               176          Induction         J11             3          1          49         1       15          15         1      0           271                 10F         
       17               175          Induction         J11             4          1          52         1       14          14         1      0           270                 10E         
       18               174          Induction         J11             5          1          55         1       13          13         1      0           269                 10D         
       19               173          Induction         J11             6          1          58         1       12          12         1      0           268                 10C         
       20               172          Induction         J11             7          1          61         1       11          11         1      0           267                 10B         
       21               171          Induction         J11             8          1          64         1       10          10         1      0           266                 10A         
       22               170          Induction         J11             9          1          67         1        9           9         1      0           265                 109         
       23               169          Induction         J11            10          1          70         1        8           8         1      0           264                 108         
       24               168          Induction         J11            11          1          73         1        7           7         1      0           263                 107         
       25               167          Induction         J11            12          1          76         1        6           6         1      0           262                 106         
       26               166          Induction         J11            13          1          79         1        5           5         1      0           261                 105         
       27               165          Induction         J11            14          1          82         1        4           4         1      0           260                 104         
       28               164          Induction         J11            15          1          85         1        3           3         1      0           259                 103         
       29               163          Induction         J11            16          1          88         1        2           2         1      0           258                 102         
       30               162          Induction         J11            17          1          91         1        1           0         1      0           256                 100         
       31               161          Induction         J11            18          1          94         1        0           1         1      0           257                 101         
      320               160          Collection        J20             3          2           3         7        0          96         1      0           352                 160         
      321               159          Collection        J20             4          2           6         7        1          97         1      0           353                 161         
      322               158          Collection        J20             5          2           9         7        2          98         1      0           354                 162         
      323               157          Collection        J20             6          2          12         7        3          99         1      0           355                 163         
