      169         Induction           J11              10            1              70             1          8              8             1        0   
      168         Induction           J11              11            1              73             1          7              7             1        0   
      167         Induction           J11              12            1              76             1          6              6             1        0   
      166         Induction           J11              13            1              79             1          5              5             1        0   
      165         Induction           J11              14            1              82             1          4              4             1        0   
      164         Induction           J11              15            1              85             1          3              3             1        0   
      163         Induction           J11              16            1              88             1          2              2             1        0   
      162         Induction           J11              17            1              91             1          1              0             1        0   
      161         Induction           J11              18            1              94             1          0              1             1        0   
      160         Collection          J20               3            2               3             7          0             96             1        0   
      159         Collection          J20               4            2               6             7          1             97             1        0   
      158         Collection          J20               5            2               9             7          2             98             1        0   
      157         Collection          J20               6            2              12             7          3             99             1        0   
      156         Collection          J20               7            2              15             7          4             100            1        0   
      155         Collection          J20               8            2              18             7          5             101            1        0   
      154         Collection          J20               9            2              21             7          6             102            1        0   
      153         Collection          J20              10            2              24             7          7             103            1        0   
      152         Collection          J20              11            2              27             7          8             104            1        0   
      151         Collection          J20              12            2              30             7          9             105            1        0   
      150         Collection          J20              13            2              33             7         10             106            1        0   
      149         Collection          J20              14            2              36             7         11             107            1        0   
      148         Collection          J20              15            2              39             7         12             108            1        0   
      147         Collection          J20              16            2              42             7         13             109            1        0   
      146         Collection          J20              17            2              45             7         14             110            1        0   
      145         Collection          J20              18            2              48             7         15             111            1        0   
      144         Collection          J26               3            2              51             8          0             112            1        0   
      143         Collection          J26               4            2              54             8          1             113            1        0   
      142         Collection          J26               5            2              57             8          2             114            1        0   
      141         Collection          J26               6            2              60             8          3             115            1        0   
      140         Collection          J26               7            2              63             8          4             116            1        0   
      139         Collection          J26               8            2              66             8          5             117            1        0   
      138         Collection          J26               9            2              69             8          6             118            1        0   
      137         Collection          J26              10            2              72             8          7             119            1        0   
      136         Collection          J26              11            2              75             8          8             120            1        0   
      135         Collection          J26              12            2              78             8          9             121            1        0   
      134         Collection          J26              13            2              81             8         10             122            1        0   
      133         Collection          J26              14            2              84             8         11             123            1        0   
      132         Collection          J26              15            2              87             8         12             124            1        0   
      131         Collection          J26              16            2              90             8         13             125            1        0   
      130         Collection          J26              17            2              93             8         14             126            1        0   
      129         Collection          J26              18            2              96             8         15             127            1        0   
      160         Induction           J17               3            2               1             5         15             79             1        0   
      159         Induction           J17               4            2               4             5         14             78             1        0   
      158         Induction           J17               5            2               7             5         13             77             1        0   
      157         Induction           J17               6            2              10             5         12             76             1        0   
      156         Induction           J17               7            2              13             5         11             75             1        0   
      155         Induction           J17               8            2              16             5         10             74             1        0   
      154         Induction           J17               9            2              19             5          9             73             1        0   
      153         Induction           J17              10            2              22             5          8             72             1        0   
      152         Induction           J17              11            2              25             5          7             71             1        0   
      151         Induction           J17              12            2              28             5          6             70             1        0   
      150         Induction           J17              13            2              31             5          5             69             1        0   
      149         Induction           J17              14            2              34             5          4             68             1        0   
      148         Induction           J17              15            2              37             5          3             67             1        0   
      147         Induction           J17              16            2              40             5          2             66             1        0   
      146         Induction           J17              17            2              43             5          1             65             1        0   
      145         Induction           J17              18            2              46             5          0             64             1        0   
      144         Induction           J23               3            2              49             6         15             95             1        0   
      143         Induction           J23               4            2              52             6         14             94             1        0   
      142         Induction           J23               5            2              55             6         13             93             1        0   
      141         Induction           J23               6            2              58             6         12             92             1        0   
      140         Induction           J23               7            2              61             6         11             91             1        0   
      139         Induction           J23               8            2              64             6         10             90             1        0   
      138         Induction           J23               9            2              67             6          9             89             1        0   
      137         Induction           J23              10            2              70             6          8             88             1        0   
      136         Induction           J23              11            2              73             6          7             87             1        0   
      135         Induction           J23              12            2              76             6          6             86             1        0   
      134         Induction           J23              13            2              79             6          5             85             1        0   
      133         Induction           J23              14            2              82             6          4             84             1        0   
      132         Induction           J23              15            2              85             6          3             83             1        0   
      131         Induction           J23              16            2              88             6          2             82             1        0   
      130         Induction           J23              17            2              91             6          1             81             1        0   
      129         Induction           J23              18            2              94             6          0             80             1        0   
      128         Collection           J7               3            1               3             4          0             48             2        0   
      127         Collection           J7               4            1               6             4          1             49             2        0   
      126         Collection           J7               5            1               9             4          2             50             2        0   
      125         Collection           J7               6            1              12             4          3             51             2        0   
      124         Collection           J7               7            1              15             4          4             52             2        0   
      123         Collection           J7               8            1              18             4          5             53             2        0   
      122         Collection           J7               9            1              21             4          6             54             2        0   
      121         Collection           J7              10            1              24             4          7             55             2        0   
      120         Collection           J7              11            1              27             4          8             56             2        0   
      119         Collection           J7              12            1              30             4          9             57             2        0   
      118         Collection           J7              13            1              33             4         10             58             2        0   
      117         Collection           J7              14            1              36             4         11             59             2        0   
      116         Collection           J7              15            1              39             4         12             60             2        0   
      115         Collection           J7              16            1              42             4         13             61             2        0   
      114         Collection           J7              17            1              45             4         14             62             2        0   
      113         Collection           J7              18            1              48             4         15             63             2        0   
      112         Collection          J13               3            1              51             3          0             32             2        0   
      111         Collection          J13               4            1              54             3          1             33             2        0   
      110         Collection          J13               5            1              57             3          2             34             2        0   
      109         Collection          J13               6            1              60             3          3             35             2        0   
      108         Collection          J13               7            1              63             3          4             36             2        0   
      107         Collection          J13               8            1              66             3          5             37             2        0   
      106         Collection          J13               9            1              69             3          6             38             2        0   
      105         Collection          J13              10            1              72             3          7             39             2        0   
      104         Collection          J13              11            1              75             3          8             40             2        0   
      103         Collection          J13              12            1              78             3          9             41             2        0   
      102         Collection          J13              13            1              81             3         10             42             2        0   
      101         Collection          J13              14            1              84             3         11             43             2        0   
      100         Collection          J13              15            1              87             3         12             44             2        0   
      99          Collection          J13              16            1              90             3         13             45             2        0   
      98          Collection          J13              17            1              93             3         14             46             2        0   
      97          Collection          J13              18            1              96             3         15             47             2        0   
      128         Induction            J4               3            1               1             2         15             31             2        0   
      127         Induction            J4               4            1               4             2         14             30             2        0   
      126         Induction            J4               5            1               7             2         13             29             2        0   
      125         Induction            J4               6            1              10             2         12             28             2        0   
      124         Induction            J4               7            1              13             2         11             27             2        0   
      123         Induction            J4               8            1              16             2         10             26             2        0   
      122         Induction            J4               9            1              19             2          9             25             2        0   
      121         Induction            J4              10            1              22             2          8             24             2        0   
      120         Induction            J4              11            1              25             2          7             23             2        0   
      119         Induction            J4              12            1              28             2          6             22             2        0   
      118         Induction            J4              13            1              31             2          5             21             2        0   
      117         Induction            J4              14            1              34             2          4             20             2        0   
      116         Induction            J4              15            1              37             2          3             19             2        0   
      115         Induction            J4              16            1              40             2          2             18             2        0   
      114         Induction            J4              17            1              43             2          1             17             2        0   
      113         Induction            J4              18            1              46             2          0             16             2        0   
      112         Induction           J10               3            1              49             1         15             15             2        0   
      111         Induction           J10               4            1              52             1         14             14             2        0   
      110         Induction           J10               5            1              55             1         13             13             2        0   
      109         Induction           J10               6            1              58             1         12             12             2        0   
      108         Induction           J10               7            1              61             1         11             11             2        0   
      107         Induction           J10               8            1              64             1         10             10             2        0   
      106         Induction           J10               9            1              67             1          9              9             2        0   
      105         Induction           J10              10            1              70             1          8              8             2        0   
      104         Induction           J10              11            1              73             1          7              7             2        0   
      103         Induction           J10              12            1              76             1          6              6             2        0   
